timestamp,tool,run_index,elapsed_seconds
2026-04-21T14:38:30,none,1,40.907160
2026-04-21T14:39:16,cprofile,1,45.852114
2026-04-21T14:39:56,pyspy,1,40.108322
2026-04-21T14:41:02,memray,1,65.890742
2026-04-21T17:01:14,none,1,38.362948
2026-04-21T17:02:08,cprofile,1,54.581967
2026-04-21T17:02:56,pyspy,1,48.038020
2026-04-21T17:04:08,memray,1,71.736892
2026-04-21T17:04:47,none,2,38.825427
2026-04-21T17:05:33,cprofile,2,46.169583
2026-04-21T17:06:13,pyspy,2,40.428057
2026-04-21T17:07:17,memray,2,63.923501
2026-04-21T17:07:56,none,3,38.758834
2026-04-21T17:08:42,cprofile,3,46.330839
2026-04-21T17:09:23,pyspy,3,40.357331
2026-04-21T17:10:27,memray,3,64.227267
2026-04-21T17:11:06,none,4,38.597662
2026-04-21T17:11:57,cprofile,4,51.511179
2026-04-21T17:12:46,pyspy,4,49.004866
2026-04-21T17:14:02,memray,4,76.254355
2026-04-21T17:14:44,none,5,41.213365
2026-04-21T17:15:33,cprofile,5,49.303990
2026-04-21T17:16:17,pyspy,5,43.793177
2026-04-21T17:17:24,memray,5,66.836013
